time_step,quiet,jail,active
0,1071,14,35
1,921,56,143
2,762,112,246
3,746,165,209
4,762,218,140
5,789,270,61
6,822,296,2
7,835,285,0
8,842,278,0
9,853,267,0
10,864,256,0
11,872,248,0
12,885,235,0
13,893,227,0
14,905,215,0
15,917,203,0
16,923,197,0
17,936,184,0
18,949,171,0
19,963,157,0
20,975,145,0
21,989,131,0
22,998,122,0
23,1009,110,1
24,1017,102,1
25,1029,91,0
26,1029,83,8
27,1006,90,24
28,986,107,27
29,914,134,72
30,824,173,123
31,822,211,87
32,845,245,30
33,863,257,0
34,884,236,0
35,899,221,0
36,905,215,0
37,912,208,0
38,926,193,1
39,935,185,0
40,937,180,3
41,941,178,1
42,950,170,0
43,960,160,0
44,968,152,0
45,982,137,1
46,987,133,0
47,997,123,0
48,987,123,10
49,991,125,4
50,998,122,0
51,1009,111,0
52,1015,104,1
53,1028,92,0
54,1037,83,0
55,1043,77,0
56,1053,67,0
57,1056,64,0
58,1064,56,0
59,1076,44,0
60,1082,38,0
61,1089,30,1
62,1090,30,0
63,1095,25,0
64,1093,26,1
65,1095,25,0
66,1097,23,0
67,1096,23,1
68,1097,23,0
69,1098,22,0
70,1100,20,0
71,1101,19,0
72,1103,17,0
73,1106,14,0
74,1104,16,0
75,1104,16,0
76,1110,10,0
77,1107,13,0
78,1107,13,0
79,1107,13,0
80,1108,12,0
81,1107,13,0
82,1109,10,1
83,1107,12,1
84,1108,12,0
85,1108,12,0
86,1066,19,35
87,941,57,122
88,774,114,232
89,753,171,196
90,797,218,105
91,825,263,32
92,842,278,0
93,854,265,1
94,868,252,0
95,876,243,1
96,887,233,0
97,899,221,0
98,913,207,0
99,921,199,0
100,926,194,0
101,933,187,0
102,944,176,0
103,946,173,1
104,953,167,0
105,960,160,0
106,974,146,0
107,982,138,0
108,990,130,0
109,999,120,1
110,1002,110,8
111,1015,104,1
112,1025,95,0
113,1035,83,2
114,1039,74,7
115,1039,79,2
116,1054,65,1
117,1068,52,0
118,1070,49,1
119,1079,41,0
120,1088,32,0
121,1088,32,0
122,1089,31,0
123,1090,30,0
124,1089,31,0
125,1091,29,0
126,1093,27,0
127,1096,24,0
128,1098,22,0
129,1096,23,1
130,1097,23,0
131,1076,27,17
132,1083,37,0
133,1083,35,2
134,1081,39,0
135,1086,34,0
136,1081,34,5
137,1059,47,14
138,1046,65,9
139,1052,68,0
140,1054,66,0
141,1056,64,0
142,1059,60,1
143,1051,60,9
144,994,74,52
145,895,106,119
146,835,160,125
147,786,214,120
148,803,257,60
149,832,283,5
150,844,276,0
151,856,264,0
152,865,254,1
153,874,245,1
154,885,235,0
155,902,218,0
156,905,215,0
157,915,205,0
158,927,193,0
159,942,178,0
160,951,169,0
161,954,164,2
162,957,162,1
163,969,151,0
164,984,136,0
165,996,124,0
166,1001,119,0
167,1011,109,0
168,1018,102,0
169,1031,89,0
170,1043,77,0
171,1054,66,0
172,1057,51,12
173,1009,65,46
174,969,96,55
175,907,144,69
176,822,184,114
177,815,229,76
178,842,262,16
179,865,255,0
180,876,244,0
181,885,235,0
182,892,228,0
183,905,215,0
184,915,205,0
185,929,191,0
186,936,184,0
187,947,173,0
188,957,163,0
189,970,150,0
190,976,144,0
191,990,130,0
192,996,124,0
193,1002,118,0
194,1010,110,0
195,1017,103,0
196,1029,91,0
197,1038,82,0
198,1043,77,0
199,1047,72,1
