time_step,quiet,jail,active
0,1120,0,0
1,1120,0,0
2,1120,0,0
3,1120,0,0
4,1120,0,0
5,1120,0,0
6,1119,0,1
7,1116,2,2
8,1116,4,0
9,1116,4,0
10,1116,4,0
11,1116,4,0
12,1116,4,0
13,1116,4,0
14,1116,4,0
15,1117,3,0
16,1117,3,0
17,1117,3,0
18,1117,3,0
19,1117,3,0
20,1118,2,0
21,1118,2,0
22,1118,2,0
23,1118,2,0
24,1118,2,0
25,1119,1,0
26,1119,1,0
27,1119,1,0
28,1119,1,0
29,1119,1,0
30,1119,1,0
31,1119,1,0
32,1119,1,0
33,1120,0,0
34,1120,0,0
35,1120,0,0
36,1120,0,0
37,1120,0,0
38,1120,0,0
39,1120,0,0
40,1120,0,0
41,1120,0,0
42,1120,0,0
43,1120,0,0
44,1120,0,0
45,1120,0,0
46,1120,0,0
47,1120,0,0
48,1120,0,0
49,1120,0,0
50,1120,0,0
51,1120,0,0
52,1120,0,0
53,1120,0,0
54,1120,0,0
55,1120,0,0
56,1120,0,0
57,1120,0,0
58,1120,0,0
59,1120,0,0
60,1120,0,0
61,1120,0,0
62,1120,0,0
63,1119,1,0
64,1119,1,0
65,1119,1,0
66,1119,1,0
67,1119,1,0
68,1119,1,0
69,1119,1,0
70,1119,1,0
71,1119,1,0
72,1119,1,0
73,1119,1,0
74,1120,0,0
75,1120,0,0
76,1120,0,0
77,1120,0,0
78,1120,0,0
79,1120,0,0
80,1120,0,0
81,1120,0,0
82,1120,0,0
83,1120,0,0
84,1120,0,0
85,1119,1,0
86,1119,1,0
87,1119,1,0
88,1119,1,0
89,1119,1,0
90,1119,1,0
91,1119,1,0
92,1119,1,0
93,1119,1,0
94,1119,1,0
95,1119,1,0
96,1119,1,0
97,1119,1,0
98,1119,1,0
99,1119,1,0
100,1119,1,0
101,1119,1,0
102,1119,1,0
103,1119,1,0
104,1119,1,0
105,1119,1,0
106,1118,2,0
107,1118,2,0
108,1118,2,0
109,1119,1,0
110,1120,0,0
111,1120,0,0
112,1120,0,0
113,1120,0,0
114,1120,0,0
115,1120,0,0
116,1120,0,0
117,1120,0,0
118,1120,0,0
119,1120,0,0
120,1120,0,0
121,1120,0,0
122,1120,0,0
123,1120,0,0
124,1120,0,0
125,1120,0,0
126,1120,0,0
127,1120,0,0
128,1120,0,0
129,1120,0,0
130,1120,0,0
131,1120,0,0
132,1120,0,0
133,1120,0,0
134,1120,0,0
135,1120,0,0
136,1120,0,0
137,1120,0,0
138,1120,0,0
139,1120,0,0
140,1120,0,0
141,1119,1,0
142,1119,1,0
143,1119,1,0
144,1119,1,0
145,1119,1,0
146,1119,1,0
147,1119,1,0
148,1119,1,0
149,1119,1,0
150,1119,1,0
151,1119,1,0
152,1119,1,0
153,1119,1,0
154,1119,1,0
155,1120,0,0
156,1120,0,0
157,1120,0,0
158,1120,0,0
159,1120,0,0
160,1120,0,0
161,1120,0,0
162,1120,0,0
163,1120,0,0
164,1120,0,0
165,1120,0,0
166,1120,0,0
167,1120,0,0
168,1120,0,0
169,1120,0,0
170,1120,0,0
171,1120,0,0
172,1120,0,0
173,1120,0,0
174,1120,0,0
175,1120,0,0
176,1120,0,0
177,1120,0,0
178,1120,0,0
179,1120,0,0
180,1120,0,0
181,1120,0,0
182,1120,0,0
183,1120,0,0
184,1120,0,0
185,1120,0,0
186,1120,0,0
187,1120,0,0
188,1120,0,0
189,1120,0,0
190,1120,0,0
191,1120,0,0
192,1120,0,0
193,1120,0,0
194,1120,0,0
195,1120,0,0
196,1120,0,0
197,1120,0,0
198,1120,0,0
199,1120,0,0
