time_step,quiet,jail,active
0,1118,0,2
1,1113,1,6
2,1114,6,0
3,1114,6,0
4,1114,6,0
5,1114,6,0
6,1114,5,1
7,1114,6,0
8,1114,6,0
9,1113,7,0
10,1113,7,0
11,1113,7,0
12,1113,7,0
13,1113,7,0
14,1114,6,0
15,1114,6,0
16,1114,6,0
17,1114,6,0
18,1114,6,0
19,1114,6,0
20,1114,6,0
21,1114,6,0
22,1114,6,0
23,1116,4,0
24,1116,4,0
25,1116,4,0
26,1117,3,0
27,1119,1,0
28,1120,0,0
29,1119,1,0
30,1119,1,0
31,1119,1,0
32,1119,1,0
33,1119,1,0
34,1119,1,0
35,1119,1,0
36,1119,1,0
37,1118,2,0
38,1118,2,0
39,1118,2,0
40,1118,2,0
41,1118,2,0
42,1118,2,0
43,1120,0,0
44,1120,0,0
45,1118,2,0
46,1118,2,0
47,1120,0,0
48,1119,1,0
49,1119,1,0
50,1119,1,0
51,1119,1,0
52,1119,1,0
53,1119,1,0
54,1118,2,0
55,1118,2,0
56,1118,2,0
57,1117,3,0
58,1117,3,0
59,1117,3,0
60,1118,2,0
61,1118,2,0
62,1112,3,5
63,1077,14,29
64,1080,32,8
65,1083,37,0
66,1084,36,0
67,1085,35,0
68,1085,35,0
69,1087,33,0
70,1089,31,0
71,1091,29,0
72,1094,26,0
73,1096,24,0
74,1097,23,0
75,1099,21,0
76,1098,22,0
77,1098,22,0
78,1100,20,0
79,1100,20,0
80,1100,20,0
81,1102,18,0
82,1104,16,0
83,1105,15,0
84,1106,14,0
85,1111,9,0
86,1110,10,0
87,1110,10,0
88,1111,9,0
89,1112,8,0
90,1113,7,0
91,1114,6,0
92,1116,4,0
93,1116,4,0
94,1116,4,0
95,1114,4,2
96,1113,7,0
97,1113,7,0
98,1113,7,0
99,1095,15,10
100,1099,20,1
101,1098,22,0
102,1098,22,0
103,1097,23,0
104,1098,22,0
105,1099,21,0
106,1100,20,0
107,1103,17,0
108,1104,16,0
109,1104,15,1
110,1106,14,0
111,1106,14,0
112,1106,14,0
113,1107,13,0
114,1107,13,0
115,1107,13,0
116,1108,12,0
117,1108,12,0
118,1108,12,0
119,1109,11,0
120,1110,10,0
121,1110,10,0
122,1111,9,0
123,1111,9,0
124,1109,10,1
125,1109,11,0
126,1112,8,0
127,1113,7,0
128,1115,5,0
129,1115,5,0
130,1111,8,1
131,1110,10,0
132,1111,9,0
133,1111,9,0
134,1111,9,0
135,1111,9,0
136,1112,8,0
137,1114,6,0
138,1114,6,0
139,1114,6,0
140,1115,5,0
141,1115,5,0
142,1116,4,0
143,1116,4,0
144,1116,4,0
145,1117,3,0
146,1118,2,0
147,1117,3,0
148,1117,3,0
149,1117,3,0
150,1117,3,0
151,1118,2,0
152,1118,2,0
153,1118,2,0
154,1118,2,0
155,1117,3,0
156,1118,2,0
157,1118,2,0
158,1118,2,0
159,1116,4,0
160,1116,4,0
161,1116,4,0
162,1116,4,0
163,1118,2,0
164,1118,2,0
165,1118,2,0
166,1118,2,0
167,1113,3,4
168,1095,8,17
169,1087,25,8
170,1093,27,0
171,1095,25,0
172,1095,25,0
173,1096,24,0
174,1096,24,0
175,1097,23,0
176,1097,23,0
177,1099,21,0
178,1099,21,0
179,1101,19,0
180,1102,18,0
181,1103,17,0
182,1106,14,0
183,1106,14,0
184,1108,12,0
185,1108,12,0
186,1109,11,0
187,1110,10,0
188,1109,11,0
189,1109,11,0
190,1109,11,0
191,1112,8,0
192,1114,6,0
193,1115,5,0
194,1116,4,0
195,1116,4,0
196,1116,4,0
197,1118,2,0
198,1119,1,0
199,1119,1,0
