time_step,quiet,jail,active
0,1090,16,14
1,1026,34,60
2,824,85,211
3,646,145,329
4,645,204,271
5,650,258,212
6,659,308,153
7,678,356,86
8,700,397,23
9,721,399,0
10,741,379,0
11,761,358,1
12,779,341,0
13,801,319,0
14,810,310,0
15,829,291,0
16,846,274,0
17,863,257,0
18,885,235,0
19,902,218,0
20,907,213,0
21,924,196,0
22,935,185,0
23,948,170,2
24,911,175,34
25,880,191,49
26,863,211,46
27,841,230,49
28,783,264,73
29,731,303,86
30,723,328,69
31,737,341,42
32,772,347,1
33,795,325,0
34,816,304,0
35,834,286,0
36,848,272,0
37,858,262,0
38,869,250,1
39,875,245,0
40,865,237,18
41,872,245,3
42,888,232,0
43,902,218,0
44,917,203,0
45,932,188,0
46,943,177,0
47,961,159,0
48,967,152,1
49,975,145,0
50,984,136,0
51,1008,112,0
52,1017,103,0
53,1034,85,1
54,1048,72,0
55,1062,58,0
56,1070,50,0
57,1079,41,0
58,1086,34,0
59,1090,30,0
60,1068,26,26
61,924,56,140
62,707,109,304
63,652,161,307
64,653,213,254
65,653,265,202
66,662,315,143
67,672,364,84
68,702,404,14
69,727,393,0
70,745,375,0
71,758,362,0
72,770,350,0
73,787,333,0
74,800,319,1
75,810,309,1
76,817,303,0
77,832,288,0
78,850,270,0
79,872,248,0
80,891,229,0
81,899,220,1
82,907,213,0
83,928,192,0
84,947,173,0
85,961,159,0
86,971,149,0
87,965,134,21
88,924,138,58
89,845,167,108
90,700,208,212
91,677,245,198
92,680,286,154
93,696,330,94
94,741,358,21
95,775,345,0
96,797,323,0
97,812,308,0
98,824,296,0
99,836,284,0
100,852,268,0
101,862,258,0
102,879,240,1
103,890,227,3
104,901,218,1
105,910,210,0
106,922,197,1
107,938,182,0
108,955,165,0
109,969,151,0
110,981,138,1
111,994,126,0
112,1006,114,0
113,1019,101,0
114,1034,86,0
115,1045,75,0
116,1052,68,0
117,1064,56,0
118,1071,49,0
119,1076,44,0
120,1088,32,0
121,1034,30,56
122,829,68,223
123,646,123,351
124,641,178,301
125,648,233,239
126,649,286,185
127,656,338,126
128,665,395,60
129,690,428,2
130,710,410,0
131,729,390,1
132,746,374,0
133,762,358,0
134,773,346,1
135,787,332,1
136,809,311,0
137,817,303,0
138,832,288,0
139,853,267,0
140,872,248,0
141,892,228,0
142,899,220,1
143,916,204,0
144,926,194,0
145,944,176,0
146,959,161,0
147,973,147,0
148,985,135,0
149,999,121,0
150,1020,100,0
151,1045,75,0
152,1057,62,1
153,1066,54,0
154,1081,39,0
155,1090,29,1
156,1098,22,0
157,1101,18,1
158,1102,18,0
159,1103,17,0
160,1103,17,0
161,1103,17,0
162,1105,15,0
163,1103,16,1
164,1104,16,0
165,1103,17,0
166,1105,15,0
167,1104,15,1
168,1104,16,0
169,1101,18,1
170,1100,20,0
171,1102,18,0
172,1104,16,0
173,1105,15,0
174,1104,16,0
175,1105,15,0
176,1106,13,1
177,1105,15,0
178,1095,16,9
179,961,42,117
180,709,99,312
181,645,150,325
182,649,206,265
183,657,258,205
184,659,308,153
185,671,362,87
186,690,405,25
187,714,406,0
188,729,391,0
189,740,380,0
190,750,370,0
191,766,353,1
192,779,341,0
193,797,322,1
194,815,305,0
195,838,282,0
196,852,268,0
197,870,249,1
198,886,234,0
199,903,216,1
