time_step,quiet,jail,active
0,1013,22,85
1,783,73,264
2,633,132,355
3,637,188,295
4,640,243,237
5,651,293,176
6,650,345,125
7,655,393,72
8,683,427,10
9,707,413,0
10,722,398,0
11,739,381,0
12,751,369,0
13,768,352,0
14,774,345,1
15,775,338,7
16,796,324,0
17,818,301,1
18,828,291,1
19,849,271,0
20,862,254,4
21,862,244,14
22,848,243,29
23,802,261,57
24,771,287,62
25,753,313,54
26,763,334,23
27,787,333,0
28,804,316,0
29,832,288,0
30,856,264,0
31,874,246,0
32,896,224,0
33,913,207,0
34,930,189,1
35,948,171,1
36,956,163,1
37,964,155,1
38,911,160,49
39,823,187,110
40,679,236,205
41,649,281,190
42,663,329,128
43,676,369,75
44,707,403,10
45,725,395,0
46,754,366,0
47,776,344,0
48,788,330,2
49,812,308,0
50,831,289,0
51,848,272,0
52,864,256,0
53,885,235,0
54,901,218,1
55,922,197,1
56,933,187,0
57,951,169,0
58,962,158,0
59,974,146,0
60,987,132,1
61,1013,107,0
62,1022,98,0
63,1032,88,0
64,1041,78,1
65,1046,74,0
66,1053,67,0
67,1062,56,2
68,1068,52,0
69,1081,39,0
70,1088,32,0
71,1093,27,0
72,1089,23,8
73,965,47,108
74,709,100,311
75,634,158,328
76,641,213,266
77,639,270,211
78,651,321,148
79,658,365,97
80,661,420,39
81,691,429,0
82,702,418,0
83,720,400,0
84,751,368,1
85,766,354,0
86,778,342,0
87,787,332,1
88,803,317,0
89,819,301,0
90,837,283,0
91,852,268,0
92,873,247,0
93,892,228,0
94,898,221,1
95,912,206,2
96,930,190,0
97,943,177,0
98,966,153,1
99,982,138,0
100,997,123,0
101,1013,107,0
102,1023,95,2
103,961,88,71
104,832,118,170
105,654,165,301
106,650,209,261
107,650,258,212
108,654,303,163
109,653,348,119
110,679,394,47
111,703,416,1
112,724,396,0
113,731,389,0
114,752,368,0
115,769,351,0
116,785,335,0
117,810,309,1
118,824,295,1
119,839,281,0
120,849,271,0
121,868,252,0
122,884,236,0
123,897,223,0
124,907,213,0
125,916,204,0
126,929,191,0
127,947,173,0
128,964,156,0
129,975,145,0
130,992,128,0
131,1008,112,0
132,1022,98,0
133,1039,81,0
134,1052,68,0
135,1067,53,0
136,1080,40,0
137,1087,32,1
138,1075,31,14
139,966,50,104
140,731,106,283
141,636,162,322
142,634,218,268
143,643,268,209
144,654,318,148
145,667,366,87
146,681,408,31
147,699,420,1
148,711,409,0
149,725,394,1
150,735,385,0
151,752,368,0
152,772,348,0
153,775,340,5
154,794,326,0
155,813,305,2
156,825,295,0
157,845,275,0
158,860,260,0
159,880,239,1
160,886,226,8
161,889,225,6
162,910,209,1
163,913,194,13
164,867,199,54
165,782,216,122
166,706,256,158
167,680,290,150
168,677,326,117
169,713,344,63
170,726,369,25
171,750,369,1
172,776,344,0
173,795,324,1
174,818,302,0
175,841,279,0
176,853,267,0
177,867,253,0
178,878,242,0
179,889,231,0
180,911,209,0
181,920,199,1
182,930,190,0
183,939,181,0
184,952,168,0
185,961,159,0
186,968,151,1
187,977,141,2
188,919,144,57
189,776,173,171
190,671,222,227
191,647,269,204
192,658,313,149
193,669,354,97
194,702,385,33
195,739,380,1
196,769,351,0
197,791,328,1
198,810,310,0
199,826,294,0
