time_step,quiet,jail,active
0,1118,2,0
1,1118,2,0
2,1116,4,0
3,1115,5,0
4,1115,5,0
5,1115,5,0
6,1115,5,0
7,1115,5,0
8,1116,4,0
9,1116,4,0
10,1109,9,2
11,1109,11,0
12,1108,12,0
13,1109,10,1
14,1105,12,3
15,1100,19,1
16,1101,19,0
17,1102,18,0
18,1104,16,0
19,1104,16,0
20,1104,16,0
21,1104,16,0
22,1103,15,2
23,1104,16,0
24,1104,16,0
25,1106,14,0
26,1106,14,0
27,1106,14,0
28,1107,13,0
29,1107,13,0
30,1108,12,0
31,1110,10,0
32,1110,10,0
33,1109,11,0
34,1110,10,0
35,1111,9,0
36,1111,9,0
37,1110,10,0
38,1109,11,0
39,1110,10,0
40,1110,10,0
41,1111,9,0
42,1111,9,0
43,1112,8,0
44,1104,12,4
45,1105,15,0
46,1106,14,0
47,1109,11,0
48,1109,11,0
49,1110,10,0
50,1101,16,3
51,1099,21,0
52,1079,25,16
53,1029,44,47
54,1021,71,28
55,1017,88,15
56,1027,93,0
57,1027,93,0
58,1029,91,0
59,1029,91,0
60,1032,88,0
61,1034,86,0
62,1039,81,0
63,1045,75,0
64,1046,74,0
65,1048,72,0
66,1052,68,0
67,1057,63,0
68,1061,59,0
69,1064,55,1
70,1068,52,0
71,1072,48,0
72,1075,45,0
73,1079,41,0
74,1080,40,0
75,1083,37,0
76,1087,33,0
77,1090,30,0
78,1094,26,0
79,1101,19,0
80,1106,14,0
81,1109,11,0
82,1110,10,0
83,1116,4,0
84,1116,4,0
85,1117,3,0
86,1116,3,1
87,1116,4,0
88,1116,4,0
89,1116,4,0
90,1116,4,0
91,1116,4,0
92,1117,3,0
93,1114,4,2
94,1113,7,0
95,1113,7,0
96,1113,7,0
97,1113,7,0
98,1113,7,0
99,1114,6,0
100,1111,9,0
101,1111,9,0
102,1089,15,16
103,1052,42,26
104,1032,65,23
105,1026,84,10
106,1030,90,0
107,1033,87,0
108,1042,78,0
109,1046,74,0
110,1047,73,0
111,1053,67,0
112,1056,64,0
113,1057,63,0
114,1061,59,0
115,1062,58,0
116,1063,57,0
117,1067,53,0
118,1070,50,0
119,1074,46,0
120,1073,47,0
121,1078,42,0
122,1080,40,0
123,1083,37,0
124,1086,34,0
125,1087,33,0
126,1092,28,0
127,1094,26,0
128,1095,25,0
129,1097,23,0
130,1102,18,0
131,1105,15,0
132,1107,13,0
133,1110,10,0
134,1115,5,0
135,1115,5,0
136,1116,4,0
137,1116,4,0
138,1116,4,0
139,1116,4,0
140,1116,4,0
141,1116,4,0
142,1113,6,1
143,1112,8,0
144,1112,8,0
145,1113,7,0
146,1113,7,0
147,1113,7,0
148,1114,6,0
149,1113,7,0
150,1113,7,0
151,1112,8,0
152,1112,8,0
153,1110,10,0
154,1111,9,0
155,1110,10,0
156,1108,11,1
157,1109,11,0
158,1109,11,0
159,1108,11,1
160,1107,13,0
161,1107,13,0
162,1109,11,0
163,1108,12,0
164,1060,23,37
165,1014,48,58
166,1013,84,23
167,1021,97,2
168,1027,93,0
169,1032,88,0
170,1034,86,0
171,1036,84,0
172,1039,81,0
173,1041,79,0
174,1043,77,0
175,1047,73,0
176,1049,71,0
177,1055,65,0
178,1057,63,0
179,1062,58,0
180,1063,57,0
181,1069,51,0
182,1073,47,0
183,1077,42,1
184,1079,41,0
185,1081,39,0
186,1083,37,0
187,1084,36,0
188,1087,33,0
189,1087,32,1
190,1090,29,1
191,1090,27,3
192,1080,29,11
193,1073,38,9
194,1081,39,0
195,1088,32,0
196,1087,33,0
197,1086,33,1
198,1088,32,0
199,1091,29,0
