time_step,quiet,jail,active
0,1107,10,3
1,1107,13,0
2,1107,13,0
3,1107,13,0
4,1108,12,0
5,1048,30,42
6,899,71,150
7,671,126,323
8,657,181,282
9,665,233,222
10,664,291,165
11,684,340,96
12,705,371,44
13,729,389,2
14,749,371,0
15,767,353,0
16,778,342,0
17,788,332,0
18,809,311,0
19,822,298,0
20,831,289,0
21,843,277,0
22,859,261,0
23,872,248,0
24,892,228,0
25,905,215,0
26,920,200,0
27,934,186,0
28,945,169,6
29,942,163,15
30,942,161,17
31,963,155,2
32,979,141,0
33,992,124,4
34,919,134,67
35,850,160,110
36,690,205,225
37,679,250,191
38,677,299,144
39,697,341,82
40,724,374,22
41,755,365,0
42,771,349,0
43,785,335,0
44,801,319,0
45,812,307,1
46,826,294,0
47,837,282,1
48,851,268,1
49,872,247,1
50,888,232,0
51,903,216,1
52,920,200,0
53,928,190,2
54,942,178,0
55,948,171,1
56,967,153,0
57,983,137,0
58,985,125,10
59,913,137,70
60,780,173,167
61,684,222,214
62,677,265,178
63,687,309,124
64,713,338,69
65,750,356,14
66,774,346,0
67,791,329,0
68,810,310,0
69,820,300,0
70,839,281,0
71,851,268,1
72,853,259,8
73,869,251,0
74,884,235,1
75,897,223,0
76,906,214,0
77,920,199,1
78,930,190,0
79,945,175,0
80,954,166,0
81,964,156,0
82,978,142,0
83,988,132,0
84,998,122,0
85,1014,105,1
86,1020,98,2
87,1036,82,2
88,1045,75,0
89,1054,66,0
90,1064,56,0
91,1075,45,0
92,1080,40,0
93,1090,30,0
94,1082,26,12
95,982,51,87
96,750,106,264
97,661,162,297
98,664,218,238
99,666,273,181
100,678,324,118
101,708,363,49
102,736,379,5
103,759,361,0
104,765,354,1
105,792,328,0
106,809,311,0
107,802,308,10
108,818,302,0
109,835,285,0
110,844,275,1
111,856,264,0
112,863,256,1
113,872,247,1
114,883,235,2
115,893,227,0
116,907,213,0
117,915,205,0
118,941,179,0
119,958,162,0
120,970,150,0
121,982,138,0
122,994,125,1
123,1004,112,4
124,994,106,20
125,958,116,46
126,832,130,158
127,711,176,233
128,668,226,226
129,673,274,173
130,681,323,116
131,699,370,51
132,734,384,2
133,749,371,0
134,762,358,0
135,778,342,0
136,797,323,0
137,814,306,0
138,827,293,0
139,837,283,0
140,850,270,0
141,864,256,0
142,878,242,0
143,890,230,0
144,910,210,0
145,916,204,0
146,928,192,0
147,942,178,0
148,961,159,0
149,972,148,0
150,991,129,0
151,997,123,0
152,1012,108,0
153,1021,99,0
154,1048,72,0
155,1065,54,1
156,1072,48,0
157,1079,41,0
158,1091,29,0
159,1100,20,0
160,1102,18,0
161,1075,20,25
162,948,54,118
163,696,112,312
164,655,168,297
165,654,227,239
166,665,279,176
167,669,327,124
168,689,377,54
169,713,402,5
170,724,396,0
171,744,376,0
172,768,352,0
173,780,339,1
174,799,321,0
175,808,312,0
176,820,300,0
177,839,281,0
178,854,266,0
179,861,259,0
180,873,247,0
181,889,231,0
182,910,210,0
183,925,195,0
184,946,174,0
185,966,154,0
186,979,141,0
187,988,132,0
188,993,117,10
189,936,126,58
190,844,157,119
191,723,200,197
192,689,244,187
193,702,282,136
194,716,313,91
195,724,344,52
196,746,360,14
197,755,362,3
198,771,349,0
199,786,334,0
