time_step,quiet,jail,active
0,1109,3,8
1,1002,23,95
2,869,77,174
3,835,136,149
4,859,191,70
5,893,223,4
6,908,212,0
7,914,206,0
8,922,198,0
9,929,191,0
10,941,179,0
11,949,171,0
12,960,160,0
13,966,154,0
14,971,149,0
15,983,137,0
16,990,130,0
17,1001,119,0
18,1009,111,0
19,1014,106,0
20,1019,101,0
21,1022,98,0
22,1029,91,0
23,1035,85,0
24,1044,76,0
25,1051,69,0
26,1058,62,0
27,1073,47,0
28,1079,41,0
29,1086,34,0
30,1092,27,1
31,1104,16,0
32,1101,16,3
33,1105,15,0
34,1026,29,65
35,919,75,126
36,866,133,121
37,870,182,68
38,895,208,17
39,909,211,0
40,920,200,0
41,927,193,0
42,936,184,0
43,941,179,0
44,950,170,0
45,961,159,0
46,968,152,0
47,974,146,0
48,984,136,0
49,992,128,0
50,1000,120,0
51,1005,115,0
52,1011,109,0
53,1017,103,0
54,1026,94,0
55,1031,89,0
56,1036,84,0
57,1049,71,0
58,1058,62,0
59,1065,55,0
60,1076,43,1
61,1082,38,0
62,1090,30,0
63,1093,25,2
64,1099,21,0
65,1099,21,0
66,1105,15,0
67,1108,12,0
68,1109,8,3
69,1024,23,73
70,885,80,155
71,834,138,148
72,858,194,68
73,880,231,9
74,892,228,0
75,900,220,0
76,911,209,0
77,919,201,0
78,928,192,0
79,933,187,0
80,941,179,0
81,953,167,0
82,958,162,0
83,965,155,0
84,967,150,3
85,976,144,0
86,988,132,0
87,995,125,0
88,1004,116,0
89,1015,105,0
90,1020,100,0
91,1030,90,0
92,1034,86,0
93,1041,79,0
94,1046,74,0
95,1052,68,0
96,1056,64,0
97,1072,48,0
98,1080,40,0
99,1093,27,0
100,1101,19,0
101,1109,11,0
102,1111,9,0
103,1111,9,0
104,1112,8,0
105,1112,8,0
106,1111,9,0
107,1112,8,0
108,1112,8,0
109,1111,9,0
110,1113,7,0
111,1113,7,0
112,1111,9,0
113,1114,6,0
114,1114,6,0
115,1113,7,0
116,1113,7,0
117,1112,8,0
118,1110,8,2
119,1110,10,0
120,1063,19,38
121,970,53,97
122,903,104,113
123,845,164,111
124,873,205,42
125,897,220,3
126,903,217,0
127,912,207,1
128,919,201,0
129,926,194,0
130,930,190,0
131,938,182,0
132,946,174,0
133,958,162,0
134,968,152,0
135,972,148,0
136,980,140,0
137,989,131,0
138,997,123,0
139,1006,114,0
140,1010,110,0
141,1016,104,0
142,1022,97,1
143,1034,86,0
144,1037,83,0
145,1049,71,0
146,1058,62,0
147,1067,53,0
148,1075,45,0
149,1086,34,0
150,1096,24,0
151,1106,14,0
152,1107,13,0
153,1112,8,0
154,1114,6,0
155,1115,5,0
156,1089,14,17
157,1011,39,70
158,936,81,103
159,863,138,119
160,872,187,61
161,898,217,5
162,908,212,0
163,923,197,0
164,931,189,0
165,944,175,1
166,951,169,0
167,958,162,0
168,961,159,0
169,969,151,0
170,981,139,0
171,987,133,0
172,1000,120,0
173,1009,111,0
174,1019,101,0
175,1031,89,0
176,1033,87,0
177,1040,80,0
178,1044,76,0
179,1052,68,0
180,1061,59,0
181,1067,53,0
182,1072,48,0
183,1078,42,0
184,1084,36,0
185,1085,34,1
186,1076,35,9
187,1078,40,2
188,1087,33,0
189,1085,30,5
190,1092,28,0
191,1093,27,0
192,1094,26,0
193,1072,29,19
194,1026,48,46
195,978,87,55
196,932,123,65
197,952,151,17
198,947,158,15
199,930,167,23
