time_step,quiet,jail,active
0,1107,10,3
1,1105,15,0
2,1106,14,0
3,1085,18,17
4,991,45,84
5,748,99,273
6,679,158,283
7,681,217,222
8,694,276,150
9,717,331,72
10,748,363,9
11,768,352,0
12,776,344,0
13,781,339,0
14,792,328,0
15,802,317,1
16,815,305,0
17,829,291,0
18,848,272,0
19,854,265,1
20,871,249,0
21,879,240,1
22,894,226,0
23,910,210,0
24,921,199,0
25,935,185,0
26,949,171,0
27,960,159,1
28,970,150,0
29,987,133,0
30,1002,118,0
31,1023,97,0
32,1037,83,0
33,1049,71,0
34,1059,61,0
35,1014,60,46
36,926,87,107
37,733,139,248
38,690,193,237
39,699,244,177
40,713,297,110
41,735,343,42
42,753,367,0
43,769,351,0
44,782,338,0
45,792,328,0
46,807,313,0
47,824,296,0
48,837,283,0
49,855,264,1
50,864,255,1
51,874,246,0
52,891,229,0
53,900,220,0
54,914,206,0
55,925,195,0
56,939,181,0
57,963,157,0
58,979,141,0
59,994,126,0
60,1002,113,5
61,935,117,68
62,826,142,152
63,742,182,196
64,728,222,170
65,740,264,116
66,787,283,50
67,789,305,26
68,814,306,0
69,829,291,0
70,845,275,0
71,860,260,0
72,873,247,0
73,888,232,0
74,895,225,0
75,902,218,0
76,913,207,0
77,923,197,0
78,935,185,0
79,940,180,0
80,950,170,0
81,956,164,0
82,968,152,0
83,988,132,0
84,998,122,0
85,1015,105,0
86,1020,99,1
87,1034,86,0
88,1042,78,0
89,1049,71,0
90,1058,62,0
91,1066,47,7
92,1018,48,54
93,924,84,112
94,729,133,258
95,696,184,240
96,709,239,172
97,715,296,109
98,729,343,48
99,744,368,8
100,756,364,0
101,770,350,0
102,775,345,0
103,786,334,0
104,801,319,0
105,818,302,0
106,826,293,1
107,846,274,0
108,850,269,1
109,863,257,0
110,869,250,1
111,888,231,1
112,897,222,1
113,906,213,1
114,921,199,0
115,940,180,0
116,964,156,0
117,977,143,0
118,994,125,1
119,1005,114,1
120,1024,96,0
121,1042,78,0
122,1056,64,0
123,1067,52,1
124,1078,42,0
125,1087,33,0
126,1094,26,0
127,1096,23,1
128,1070,25,25
129,927,57,136
130,730,116,274
131,679,177,264
132,696,231,193
133,708,286,126
134,739,328,53
135,759,353,8
136,773,347,0
137,793,327,0
138,804,316,0
139,819,301,0
140,829,291,0
141,847,273,0
142,866,254,0
143,880,240,0
144,896,223,1
145,909,210,1
146,915,204,1
147,921,198,1
148,930,190,0
149,945,175,0
150,959,161,0
151,970,149,1
152,973,146,1
153,971,137,12
154,949,147,24
155,927,162,31
156,879,174,67
157,844,197,79
158,795,235,90
159,801,263,56
160,831,280,9
161,858,262,0
162,871,249,0
163,886,234,0
164,895,225,0
165,908,212,0
166,919,201,0
167,923,197,0
168,930,190,0
169,940,180,0
170,951,169,0
171,955,165,0
172,964,156,0
173,974,145,1
174,989,131,0
175,997,123,0
176,1004,116,0
177,1015,105,0
178,1021,99,0
179,1027,93,0
180,1044,76,0
181,1052,68,0
182,1062,58,0
183,1072,48,0
184,1080,40,0
185,1088,32,0
186,1091,29,0
187,1098,22,0
188,1102,18,0
189,1104,16,0
190,1094,18,8
191,1021,34,65
192,809,84,227
193,683,141,296
194,694,199,227
195,704,256,160
196,725,310,85
197,753,349,18
198,766,353,1
199,778,341,1
