Time Step,Quiet Agents,Jailed Agents,Active Agents
0,1120,0,0
1,1120,0,0
2,1120,0,0
3,1120,0,0
4,1120,0,0
5,1120,0,0
6,1120,0,0
7,1120,0,0
8,1120,0,0
9,1120,0,0
10,1120,0,0
11,1120,0,0
12,1120,0,0
13,1120,0,0
14,1120,0,0
15,1120,0,0
16,1120,0,0
17,1120,0,0
18,1120,0,0
19,1120,0,0
20,1120,0,0
21,1120,0,0
22,1120,0,0
23,1120,0,0
24,1120,0,0
25,1120,0,0
26,1120,0,0
27,1120,0,0
28,1120,0,0
29,1120,0,0
30,1120,0,0
31,1120,0,0
32,1120,0,0
33,1120,0,0
34,1120,0,0
35,1120,0,0
36,1120,0,0
37,1120,0,0
38,1120,0,0
39,1120,0,0
40,1120,0,0
41,1120,0,0
42,1120,0,0
43,1120,0,0
44,1120,0,0
45,1120,0,0
46,1120,0,0
47,1120,0,0
48,1120,0,0
49,1120,0,0
50,1120,0,0
51,1120,0,0
52,1120,0,0
53,1120,0,0
54,1120,0,0
55,1120,0,0
56,1120,0,0
57,1120,0,0
58,1120,0,0
59,1120,0,0
60,1120,0,0
61,1120,0,0
62,1120,0,0
63,1120,0,0
64,1120,0,0
65,1120,0,0
66,1120,0,0
67,1120,0,0
68,1120,0,0
69,1120,0,0
70,1120,0,0
71,1120,0,0
72,1120,0,0
73,1120,0,0
74,1120,0,0
75,1120,0,0
76,1120,0,0
77,1120,0,0
78,1120,0,0
79,1120,0,0
80,1120,0,0
81,1120,0,0
82,806,98,216
83,265,216,639
84,226,334,560
85,226,452,442
86,226,570,324
87,234,688,198
88,261,803,56
89,271,849,0
90,271,849,0
91,271,849,0
92,271,849,0
93,271,849,0
94,271,849,0
95,271,849,0
96,271,849,0
97,271,849,0
98,271,849,0
99,271,849,0
100,271,849,0
101,271,849,0
102,271,849,0
103,271,849,0
104,271,849,0
105,271,849,0
106,271,849,0
107,271,849,0
108,271,849,0
109,271,849,0
110,271,849,0
111,271,849,0
112,271,849,0
113,271,849,0
114,271,849,0
115,271,849,0
116,271,849,0
117,271,849,0
118,271,849,0
119,271,849,0
120,271,849,0
121,271,849,0
122,271,849,0
123,271,849,0
124,271,849,0
125,271,849,0
126,271,849,0
127,271,849,0
128,271,849,0
129,271,849,0
130,271,849,0
131,271,849,0
132,271,849,0
133,271,849,0
134,271,849,0
135,271,849,0
136,271,849,0
137,271,849,0
138,271,849,0
139,271,849,0
140,271,849,0
141,271,849,0
142,271,849,0
143,271,849,0
144,271,849,0
145,271,849,0
146,271,849,0
147,271,849,0
148,271,849,0
149,271,849,0
150,271,849,0
151,271,849,0
152,271,849,0
153,271,849,0
154,271,849,0
155,271,849,0
156,271,849,0
157,271,849,0
158,271,849,0
159,271,849,0
160,271,849,0
161,271,849,0
162,271,849,0
163,271,849,0
164,271,849,0
165,271,849,0
166,271,849,0
167,271,849,0
168,271,849,0
169,271,849,0
170,271,849,0
171,271,849,0
172,271,849,0
173,271,849,0
174,271,849,0
175,271,849,0
176,271,849,0
177,271,849,0
178,271,849,0
179,271,849,0
180,271,849,0
181,271,849,0
182,271,849,0
183,271,849,0
184,271,849,0
185,271,849,0
186,271,849,0
187,271,849,0
188,271,849,0
189,271,849,0
190,271,849,0
191,271,849,0
192,271,849,0
193,271,849,0
194,271,849,0
195,271,849,0
196,271,849,0
197,271,849,0
198,271,849,0
199,271,849,0
